Name;Predicted;Real
output11_7;27;31
output11_8;28;30
output11_9;25;26
output11_10;10;10
output11_11;27;33
output11_12;18;18
output11_13;9;9
output11_14;25;25
output11_15;21;20
output12_0;26;27
output12_1;12;12
output12_2;15;15
output12_3;9;10
output12_4;19;19
output12_5;31;32
output12_6;18;18
output12_7;25;32
output12_8;16;17
output12_9;13;19
output12_10;20;20
output12_11;18;18
output12_12;12;11
output12_13;24;25
output12_14;10;10
output12_15;18;17
output13_0;20;20
output13_1;15;16
output13_2;18;18
output13_3;11;11
output13_4;32;33
output13_5;23;23
output13_6;25;26
output13_7;30;30
output13_8;19;20
output13_9;17;19
output13_10;21;21
output13_11;28;30
output13_12;25;25
output13_13;29;29
output13_14;21;21
output13_15;17;17
output14_0;17;18
output14_1;26;27
output14_2;20;20
output14_3;18;18
output14_4;28;29
output14_5;10;9
output14_6;21;21
output14_7;20;21
output14_8;27;30
output14_9;10;10
output14_10;19;19
output14_11;18;18
output14_12;13;12
output14_13;18;18
output14_14;16;17
output14_15;18;18
output15_0;14;14
output15_1;10;10
output15_2;21;21
output15_3;32;32
output15_4;15;16
output15_5;20;20
output15_6;18;20
output15_7;11;12
output15_8;31;32
output15_9;9;17
output15_10;11;11
output15_11;16;17
output15_12;18;18
output15_13;10;14
output15_14;25;26
output15_15;26;26
output16_0;9;10
output16_1;29;29
output16_2;35;40
output16_3;19;19
output16_4;18;18
output16_5;19;19
output16_6;12;10
output16_7;19;19
output16_8;23;23
output16_9;14;11
output16_10;16;16
output16_11;23;23
output16_12;21;22
output16_13;16;18
output16_14;25;26
output16_15;21;21
output17_0;27;27
output17_1;32;32
output17_2;19;19
output17_3;17;17
output17_4;32;33
output17_5;19;20
output17_6;10;9
output17_7;21;22
output17_8;18;18
output17_9;28;29
output17_10;12;11
output17_11;22;22
output17_12;23;24
output17_13;16;19
output17_14;23;25
output17_15;11;11
output18_0;21;21
output18_1;8;8
output18_2;26;31
output18_3;14;14
output18_4;19;19
output18_5;27;26
output18_6;9;9
output18_7;12;11
output18_8;21;21
output18_9;21;21
output18_10;21;21
output18_11;22;22
output18_12;10;10
output18_13;10;13
output18_14;9;9
output18_15;11;11
output19_0;27;27
output19_1;16;17
output19_2;18;18
output19_3;10;10
output19_4;12;12
output19_5;10;10
output19_6;19;22
output19_7;28;29
output19_8;9;9
output19_9;9;9
output19_10;18;18
output19_11;11;11
output19_12;16;15
output19_13;19;14
output19_14;12;14
output19_15;19;18
output20_0;17;20
output20_1;19;19
output20_2;9;9
output20_3;22;22
output20_4;24;24
output20_5;19;20
output20_6;12;13
output20_7;30;30
output20_8;20;20
output20_9;21;23
output20_10;20;22
output20_11;17;17
