;Precision;Recall;Fscore;Accuracy
0;0.0;0.0;0.0;98.88961226851852
1;0.0;0.0;0.0;98.88961226851852
2;100.0;0.14250814332247558;0.28461069323033134;98.89119466145834
3;81.83980967486121;21.009771986970684;33.43593066580269;99.07113534432871
4;80.6083650190114;43.159609120521175;56.218509679130214;99.25356264467592
5;75.33689295703026;60.321661237785015;66.99830412662521;99.34014214409721
6;72.2737819025522;50.732899022801305;59.61722488038277;99.23683449074075
7;71.55863862995882;67.20276872964169;69.31233595800525;99.33923791956019
8;69.28477402369461;64.2915309446254;66.69482576557549;99.28701895254629
9;76.69930875576037;54.21416938110749;63.52576335877863;99.30872034143519
10;76.53190948385456;61.27850162866449;68.06105144149237;99.3613914207176
11;78.98550724637681;59.91449511400651;68.14077332715905;99.37789351851852
12;77.93654637926859;65.5130293159609;71.18681561774139;99.41112377025463
13;74.83108108108108;63.131107491856675;68.48498233215548;99.35483579282408
14;79.89571263035921;56.14820846905537;65.94930655188905;99.35619212962963
15;72.56673511293634;71.94625407166124;72.25516254344714;99.38648365162037
16;72.92929292929293;66.14413680781759;69.3711967545639;99.35144495081019
17;75.16339869281046;65.55374592833876;70.03044802087864;99.37698929398148
18;74.5939675174014;65.45195439739415;69.72457167642594;99.36885127314815
19;77.15147297610763;67.71172638436482;72.12403773175755;99.41880967881944
20;76.81159420289855;67.97638436482086;72.12441948374556;99.41654911747685
21;72.61550664287131;74.55211726384366;73.57106981416375;99.40524631076389
22;76.11472103965941;69.1571661237785;72.46933333333332;99.41654911747685
23;77.22865925750769;66.49022801302932;71.45826496007001;99.4102195457176
24;79.47288393309681;63.84364820846905;70.80605102731994;99.41541883680556
25;76.59870250231697;67.30456026058633;71.65149544863458;99.40863715277779
26;73.77541589648798;65.00407166123779;69.11255411255411;99.35483579282408
27;78.3411214953271;68.26140065146579;72.95474325500436;99.43802445023148
28;72.83199304499021;68.22068403908796;70.45096184169032;99.36455620659721
29;77.35576923076923;65.5130293159609;70.94356261022926;99.4041160300926
30;76.63898601398601;71.39657980456026;73.92495784148399;99.4407371238426
31;77.50651813225883;66.57166123778502;71.62413755338955;99.41428855613425
32;77.45597775718258;68.05781758957656;72.45340268747292;99.42536530671296
33;76.90552259242355;68.60749185667753;72.51990531525716;99.42265263310185
34;74.16906032006565;73.59527687296416;73.88105456774984;99.42220052083334
35;77.54370237561632;70.43973941368078;73.82120759547686;99.44525824652779
36;75.97728761738371;70.82654723127035;73.31155831840691;99.42739981192129
37;77.62053250179899;65.87947882736157;71.2696839555115;99.4102195457176
38;72.86253608705307;66.7956026058632;69.69729155602761;99.35506184895834
39;73.51805587099705;65.89983713355049;69.50080515297905;99.35777452256944
40;76.42412637625658;65.00407166123779;70.25302530253025;99.38874421296296
41;76.69648701723762;71.55944625407166;74.03896787783042;99.44277162905092
42;76.60550458715596;67.99674267100977;72.0448662640207;99.4140625
43;73.46059113300493;72.86237785016286;73.16026165167621;99.40637659143519
44;77.27374803503257;70.05293159609121;73.48638547784304;99.43870261863425
45;73.95101171458998;70.68403908794788;72.28062870823358;99.3980125144676
46;75.33812341504648;72.57736156351791;73.93197843218582;99.43169487847221
47;74.24589140836281;72.65879478827361;73.44376993517852;99.41654911747685
48;77.72474144789182;59.670195439739416;67.51122883795924;99.36229564525463
49;75.77625570776256;67.56921824104235;71.43779595350838;99.40004701967592
50;72.55384615384615;72.00732899022802;72.27955451108615;99.38670970775463
51;77.08288712786464;73.26954397394137;75.12785721740944;99.46130823206019
52;70.60908084163898;64.90228013029315;67.63551501007743;99.310302734375
53;75.49019607843137;72.10912052117264;73.76093294460642;99.43033854166666
54;73.71251292657705;72.55700325732899;73.13019390581717;99.407958984375
55;78.98722195929957;67.95602605863192;73.05756182972203;99.44344979745371
56;73.55846542614289;65.18729641693811;69.12034538586077;99.35325339988425
57;76.03087100330761;70.19543973941367;72.99671853498464;99.42333080150463
58;74.65753424657534;71.00977198697068;72.78797996661102;99.41044560185185
59;76.81777378815082;69.68648208469055;73.07856532877881;99.42988642939815
60;76.26139142031563;69.84934853420195;72.91467431728829;99.42378291377315
61;77.6230269266481;68.07817589576547;72.53796095444686;99.42762586805556
62;78.64988558352402;69.9714983713355;74.05731523378581;99.45565682870371
63;75.79403272377286;64.12866449511401;69.47507719453023;99.37427662037037
64;78.79642689233663;68.24104234527687;73.139864717434;99.44344979745371
65;79.6244131455399;69.05537459283387;73.96423898822503;99.46017795138889
66;82.62599469496021;63.41612377850163;71.75765952545497;99.44571035879629
67;76.10580128917536;69.70684039087948;72.76591223036873;99.42061812789352
68;77.82859894077997;65.81840390879479;71.32142069269798;99.41225405092592
69;76.42701525054466;71.41693811074919;73.83708692906757;99.43802445023148
70;75.40038436899424;71.88517915309446;73.60083376758728;99.42739981192129
71;77.35327963176064;68.4242671009772;72.61531813762558;99.42694769965279
72;79.61016206745511;74.00244299674267;76.70394598016459;99.50086805555556
73;76.28388803173904;70.46009771986971;73.25642925177267;99.42875614872685
74;75.62461913467398;75.79397394136808;75.70920183019825;99.45995189525463
75;78.42558983666062;70.37866449511401;74.18454935622319;99.45610894097221
76;74.70662196144174;72.57736156351791;73.62660057827345;99.42265263310185
77;77.1327276756038;70.8672638436482;73.86737400530504;99.44322374131944
78;73.47324239244492;71.27442996742671;72.35713547587062;99.39529984085648
79;71.88183807439825;66.8770358306189;69.28917949799622;99.34172453703704
80;78.73343813159667;71.37622149837134;74.87453283502403;99.46808991608796
81;73.94320398872752;69.44218241042344;71.6220472440945;99.38897026909721
82;73.58530405405406;70.94869706840392;72.242951907131;99.39462167245371
83;73.53231864004745;75.7328990228013;74.61638752381907;99.42785192418981
84;72.76021743507147;73.57491856677525;73.16530013159228;99.40072518807871
85;76.31417467784823;75.95684039087948;76.13508825630038;99.4712547019676
86;72.10094131784498;73.28990228013029;72.69056032306915;99.38851815682871
87;77.57562472599737;72.04804560260585;74.70973189782562;99.45836950231481
88;74.46277820414429;79.01058631921825;76.66930067167128;99.46605541087963
89;77.85398230088497;71.64087947882736;74.61832061068702;99.45882161458334
90;78.65969581749049;67.38599348534203;72.58771929824562;99.43485966435185
91;80.88486922512833;67.36563517915309;73.50883038987004;99.46085611979166
92;77.49077490774908;68.40390879478826;72.66435986159169;99.4285300925926
93;76.73343605546995;70.96905537459284;73.73876255949234;99.43870261863425
94;81.30884041331802;72.08876221498372;76.42171144922844;99.50606734664352
95;77.86542923433875;68.32247557003257;72.7824766861852;99.43259910300925
96;79.40305308726361;70.94869706840392;74.93817869046339;99.47306315104166
97;77.42805755395683;70.11400651465797;73.58974358974359;99.44118923611111
98;73.49246231155779;71.45765472312704;72.46077621800166;99.39688223379629
99;79.26802542187158;73.63599348534203;76.34828496042216;99.493408203125
100;79.80176211453744;73.75814332247556;76.66102412187897;99.50132016782408
101;78.86323268206039;72.31270358306189;75.44604927782497;99.4773582175926
102;78.01003344481605;75.9771986970684;76.98019801980197;99.49544270833334
103;79.57957957957959;75.52931596091204;77.501566743263;99.51307508680556
104;75.72217502124045;72.57736156351791;74.11642411642411;99.43712022569444
105;77.75150472914876;73.63599348534203;75.63780844834798;99.47328920717592
106;78.60602232048852;75.99755700325733;77.27978470137667;99.50380678530092
107;75.71520757152076;71.66123778501628;73.632465223303;99.4301124855324
108;73.55371900826447;74.28745928338762;73.91876835814848;99.4179054542824
109;75.70503446835178;73.7785016286645;74.72935354160222;99.44593641493056
110;74.06864796986187;72.04804560260585;73.04437564499484;99.40954137731481
111;72.18557139816983;69.05537459283387;70.58578711892622;99.36093930844908
112;73.1721141129794;78.84771986970685;75.90396864282216;99.44412796585648
