;Precision;Recall;Fscore;Accuracy
0;0.0;0.0;0.0;98.86678059895834
1;71.42857142857143;0.07480550568521843;0.14945449110745776;98.86728922526041
2;83.8306063522618;13.031119090365051;22.556001553800336;98.98596869574654
3;66.02545968882603;34.91921005385996;45.679616400822;99.05887179904514
4;63.38943017419545;32.12148414123279;42.63727534505014;99.02055528428819
5;68.4430176565008;31.89706762417714;43.51464435146443;99.06158447265625
6;68.06887532693985;46.72351885098743;55.411639460610374;99.14788140190971
7;68.86124401913875;53.830041891083184;60.424888739608704;99.20094807942709
8;69.98781973203411;42.98324356672651;53.257947909908246;99.14499918619791
9;71.56000817828665;52.36385397965291;60.475161987041034;99.22434488932291
10;72.14325272290935;58.46798324356672;64.58970333030327;99.27351209852431
11;70.91491634033464;59.60502692998204;64.76995610469842;99.26520453559029
12;71.07594936708861;50.403949730700184;58.98109243697479;99.20552571614584
13;69.88287785833798;56.23877917414721;62.322805272320316;99.22943115234375
14;69.95908825248392;53.72531418312387;60.776846915460766;99.21417236328125
15;73.92;55.296229802513466;63.26600479287915;99.27232530381944
16;73.84615384615385;51.70556552962297;60.82365364308342;99.24519856770834
17;71.78180445451113;56.89706762417715;63.47855116007345;99.25808376736111
18;75.80157289776164;56.23877917414721;64.57098685905694;99.30063883463541
19;70.82884822389667;59.06642728904848;64.41507586882037;99.26045735677084
20;74.8327430145612;56.89706762417715;64.64388917219107;99.29470486111111
21;75.00518564613151;54.099341711549975;62.85962624945676;99.27554660373264
22;72.88977159880834;54.90724117295033;62.63333048894958;99.25757514105904
23;77.73499433748584;51.34649910233393;61.84340931615462;99.28198920355904
24;78.1448538754765;55.2064631956912;64.70278800631246;99.31742350260416
25;74.82394366197182;57.2262118491921;64.85249237029501;99.29707845052084
26;73.91304347826086;54.42848593656493;62.69171118387041;99.26588270399306
27;76.88879456706282;54.204069419509274;63.58371358371359;99.29640028211806
28;78.22051165949739;51.69060442848593;62.24664444644626;99.28944905598959
29;71.19056533133657;56.89706762417715;63.24629968401797;99.25062391493056
30;73.26933727155252;59.380610412926394;65.59788447235766;99.29419623480904
31;72.32319241406559;54.772591262716944;62.336114421930866;99.24994574652779
32;70.54893463344168;58.45302214242968;63.93388970708558;99.25265842013889
33;71.77524733992907;57.525433871932975;63.86512748110621;99.26232231987846
34;70.89826650323936;60.577498503889885;65.33279548204919;99.27147759331596
35;70.98913243691287;57.660083782166375;63.63411211095518;99.25316704644096
36;72.3255348930214;54.11430281268701;61.90842961061188;99.24536810980904
37;73.4916682627849;57.40574506283662;64.46031079378412;99.28266737196181
38;71.04407514450867;58.84201077199281;64.36988543371521;99.26181369357639
39;76.41215426567977;58.69239976062238;66.3902521577255;99.32657877604166
40;71.76587301587301;54.11430281268701;61.702490617536675;99.23875596788194
41;73.5261401557286;59.335727109515254;65.67312468951812;99.29707845052084
42;70.2683615819209;59.54518252543387;64.46388079041141;99.25604926215279
43;71.13805970149254;57.04667863554758;63.317834606443036;99.25096299913194
44;74.00770712909441;57.4655894673848;64.69597439784404;99.28927951388889
45;70.01228285664152;59.69479353680431;64.44318824194461;99.25350613064236
46;72.83582089552239;58.408138839018555;64.82896047824642;99.28181966145834
47;70.7066940145441;56.732495511669654;62.953432389806586;99.24333360460069
48;74.94646680942184;57.60023937761819;65.1383131714745;99.30131700303819
49;72.7924944812362;59.20107719928187;65.2970297029703;99.28690592447916
50;72.6932434961632;58.10891681627768;64.58801031013553;99.27792019314236
51;70.5309571927246;57.43566726511071;63.313267914570794;99.24570719401041
52;71.65885660731021;57.19628964691801;63.61594142607537;99.25859239366319
53;71.58925979680697;59.03650508677438;64.7097408986553;99.27029079861111
54;73.49932445473847;56.97187312986236;64.18879056047199;99.27961561414931
55;74.82850609756098;58.75224416517055;65.82299698290312;99.30860731336806
56;71.81136120042872;60.14362657091562;65.46165119687348;99.28080240885416
