name,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3
6444_2,133497,145711,62137,1173728,224199,32593,40860,9947,3934,64361,195508,72812,79278,82560,968632,8484,1139,6797,191180,265780,237551,135189,163413,13516681,2552,45959,51422
6444_4,125330,99488,44076,1265101,144070,25824,43863,7822,3651,69932,153030,70064,65462,79188,433417,9709,1387,5521,199623,243732,241500,164742,150019,14166126,4580,47391,51256
6444_3,147734,119294,50785,1315504,92403,28923,35377,6093,2424,82138,182338,94633,64740,81429,331827,8160,1462,4670,230720,282919,238683,158978,143104,14108753,3462,48235,51116
6444,40544,35017,107761,822965,1368173,201528,17357,16442,6782,30591,253292,81787,143989,143114,3074702,1463,1206,14270,346891,321523,381906,269392,382547,9675491,384,43375,133412
6444_1,204987,122433,28952,1363478,105217,31827,41836,8726,2252,116852,173589,85944,82800,100128,185034,13581,1866,3946,247024,279903,229642,181177,161209,14038405,4354,48795,51947
6674_4_{X-18},581682,193692,298439,577770,721165,249268,45341,96999,17185,202740,173412,186962,166117,131978,5961660,5912,1540,72129,249505,156860,205037,56000,144244,7356810,3026,2592,57839
6676_2_{X-18},2688619,306935,677152,169979,183270,313919,12494,12075,18293,381505,266476,360012,72400,176982,6311827,5195,633,101932,371462,214186,303757,76278,3584,4883866,898,104,2071
6836_1_{X-18},2888478,263117,728292,91485,92204,286495,5144,4162,12892,361138,217340,447470,60869,135069,4408215,2032,177,97803,235512,144357,163376,43237,3523,7222840,648,21,8
7257_3,119088,59490,30722,1264672,92730,25940,27131,5073,1652,54374,132425,57789,52978,74155,340725,9283,1508,4507,207370,249557,227700,166968,139635,14473385,3437,45012,48598
6835_4_{X-18},3231147,424772,675446,178319,197769,364110,10398,8992,16837,393394,279035,403824,85094,170589,3975148,6076,495,117497,330025,143300,317828,70642,6572,6507694,711,89,101
7253_1,123943,67876,25827,1264106,77963,34909,28359,4027,1381,65247,137964,52860,58012,78870,405900,10476,1746,3900,181027,200736,208997,170437,137551,14478198,3378,44825,47389
7257_2,127319,62296,34366,1250905,92528,26090,33753,5273,1490,53483,134760,62540,53906,73464,519807,9096,1425,4695,207395,222147,218968,163810,135311,14324079,3703,44843,48452
6448_1,115670,74494,16537,1276941,82177,16437,28306,3943,1130,56463,119514,67602,62540,77827,209739,8625,1531,3980,203492,300869,238131,182056,155605,14511845,3785,46948,49717
6677_4_{X-18},2447864,278219,722585,235149,257135,352784,16633,16578,18889,388967,200581,371412,74302,235090,6390627,6580,744,88299,460440,270797,304441,87235,14928,4655374,1135,153,18963
7255_3,125054,66029,23370,1292631,104188,32722,33958,5916,1437,76225,132068,55582,61313,83412,388020,13198,1660,4209,201438,242342,232467,174689,146956,14316756,4232,46582,49450
6445_2,152043,142379,39504,1307912,128966,51081,42719,8593,2355,106004,150169,66163,65165,93988,197898,11828,1555,4503,206702,279848,248645,180426,157286,14167252,4843,47336,50741
6417_3_{X-18},2412645,210511,554123,117406,121371,266840,7378,4211,10970,331147,159712,283479,55950,125572,4201357,1859,320,82461,254918,228654,247287,57045,4293,8175791,470,41,93
6836_2_{X-18},2586839,241357,711700,105893,128044,263063,6033,5416,9945,353033,196975,320912,57998,130511,3130975,2595,357,92216,228605,163201,261948,61154,6150,8850225,628,65,66
6420_1_{X-18},1603545,186255,441583,195893,191497,236251,9923,8219,9552,263814,52215,234451,67334,144046,4443833,4597,630,57368,255105,186713,198442,54282,2946,9040863,1065,87,25395
7257_1,136331,71354,37936,1265476,102514,36199,32792,5943,1850,68907,150642,58231,54382,79603,485379,12661,1454,4751,212416,267949,229071,166282,134687,14201288,4439,44828,48539
6831_3_{X-18},1980809,323542,717758,398133,450901,493068,23494,39989,36029,428247,174429,383104,93327,252272,3059763,11126,922,110132,402604,242082,322335,86298,10857,7814108,1267,230,59078
7260_3,110709,62183,26735,1256646,77748,20113,30666,4141,1352,50640,122612,54161,57703,75327,301096,8152,1774,3945,193747,243200,246270,169781,140910,14560211,3134,45120,47828
6673_1_{X-18},2108277,325742,449916,257745,229505,293698,9609,7382,12917,282703,223691,291172,85865,153960,3270242,4673,691,86247,334745,106741,248814,75690,14641,9039435,599,98,1106
7255_1,129859,67514,22604,1297654,98254,32548,31415,5311,1444,82026,128403,59439,60244,82861,331572,12535,1666,3977,185902,243342,246462,173632,143889,14373060,3903,46770,49618
6446,43945,34736,66182,1355223,1193145,110318,21320,10285,6054,50556,311513,117599,170719,153497,2001474,2678,1828,12403,303119,359701,422483,361772,444395,10161342,819,85352,113446
6416_4_{X-18},2438183,212984,570955,114905,128457,267247,7706,5695,12686,273309,175781,316079,64549,136410,3865275,3689,661,84886,341807,236963,263516,63910,4014,8323116,886,58,2177
6836_3_{X-18},2519875,239645,626610,100163,127940,261338,5698,4689,10559,332580,205552,332303,54739,126892,3726763,2193,377,89382,228270,138083,244761,53654,4266,8478844,644,50,34
7251,42676,34239,90425,1278332,1323731,145777,23010,9995,6474,14916,246691,91389,138642,140645,2687087,1194,1808,14731,280956,310896,440991,345763,427285,9614671,394,76524,126662
7260,46007,29982,44183,1255288,830674,68476,25680,9125,4889,14084,195026,105900,110517,110835,3439370,957,1489,9405,336934,322128,355157,263131,357449,9815160,252,77090,86716
6671_2_{X-18},2411161,203651,609088,100301,101689,256418,8294,6518,12237,332523,269973,321619,70678,144958,6472938,5305,433,84561,310664,178646,233019,62234,10497,5707311,1154,22,12
7258_3,129998,62804,31735,1257660,96279,31208,30229,4729,1493,59772,125777,56698,52540,76425,534244,9879,1397,4713,178927,208746,230769,162017,134217,14336764,3065,45090,48729
6680_3_{X-18},2220872,276279,453920,189444,199697,280029,8079,7252,12761,278942,172769,293398,74501,151196,5130353,4791,613,84147,347910,238504,251236,71989,25387,7139782,686,65,1302
6671_3_{X-18},2552501,261179,623682,195551,169263,316995,11678,10248,15601,292701,242622,334337,77763,156091,4611700,6330,623,95500,403350,298752,283027,78116,10107,6865203,976,120,1888
6832_3_{X-18},1447746,310815,605870,486303,572187,445272,28158,64261,37117,318494,71580,319608,111238,178403,3048698,8412,1240,103684,398992,425133,312966,92048,88607,8353026,1740,588,83718
7251_4,110175,62615,22295,1278092,80297,22189,29648,4002,1325,53677,121459,54073,54560,74249,208939,9196,1533,3995,153342,176979,232427,169786,139795,14754353,2530,45610,48763
6417_4_{X-18},2522040,215056,567550,125214,137543,284310,7740,5994,13968,282339,170281,309670,57259,136385,4323385,2668,486,88440,312777,200473,262193,57720,4491,7826916,645,48,313
6838_2_{X-18},2661131,255005,508026,103567,104946,258535,6519,3435,12273,337278,242522,348783,66159,135195,4698844,3529,566,94595,279029,163433,260280,48263,2731,7320310,947,3,0
7258_2,119061,65621,34725,1241144,110557,22661,32208,6518,2077,55227,138857,60776,53533,69378,485147,9337,1304,4746,166374,207605,233069,161338,134068,14402862,4050,44876,48785
6840_3_{X-18},2476252,248740,604368,252118,166323,305466,11372,10338,15408,289740,196429,320614,118233,164941,4526994,7973,692,94385,322210,317927,279788,78049,9233,7096893,1087,62,269
7254_1,256800,133608,36429,1306315,125184,53446,50506,7863,2114,103135,167669,61377,61451,92282,354759,7584,1482,4652,250134,304747,275251,143846,127450,13885610,3455,47675,51080
7256_4,120237,70609,25862,1296170,91173,26194,27754,5816,1570,73779,137321,58804,64772,81297,264545,14158,1783,3760,185891,202671,236794,173596,140832,14510792,4099,46475,49150
6441_2,140312,135662,38835,1316556,119764,42147,30618,9666,2981,78724,142891,59667,74321,84252,265509,15469,1635,4213,186212,220280,223052,184852,156493,14279235,4496,47547,50515
6419_{X-18},1224898,485596,138235,573036,227325,43563,53311,22255,4828,140531,220518,147494,21947,126855,168223,681,1256,7099,604179,334292,431395,182936,273002,12277601,46,100444,104358
6448_4,130213,98085,19827,1278482,68534,20357,30737,3037,1132,76102,163930,60147,57814,82079,291441,6623,1585,4097,244761,305641,235271,149456,132644,14354667,2800,46880,49562
7259_1,122679,64133,34233,1223648,107066,30881,29284,4809,1630,49403,122063,57336,62165,74275,606261,8307,1273,5023,157903,186204,236550,151106,137894,14346784,2800,43928,48266
6837_4_{X-18},2859107,311079,563795,111856,95080,276666,6540,3739,14138,392922,267716,434981,77481,137639,2753695,2797,233,97161,283657,109492,166829,45428,13294,8889890,685,4,0
7260_2,110453,63671,29783,1246771,90937,26049,31298,4756,1656,49567,127244,59787,54008,73692,435222,7139,1552,4584,160884,218807,252952,163308,137497,14469049,3005,44310,47923
6834_2_{X-18},1514304,198767,385960,185594,192194,225617,6402,6550,8466,264306,76300,242587,50098,142556,3300939,4108,570,61678,288736,250776,203563,54910,12069,10197635,891,125,40203
6418_1_{X-18},2333803,233629,561827,122262,159468,262141,7273,4702,13447,281355,164804,290604,51147,127576,4528025,3229,535,86298,287727,174976,254087,57831,1566,7905609,942,93,948
6447_2,136995,97507,29910,1250493,125081,35845,39322,6505,1834,76001,146371,70108,65226,80878,502243,10977,1439,5039,173732,223503,263629,160399,145718,14166554,4555,45995,50045
6420_{X-18},1175739,500642,198683,522680,269046,61144,53016,26751,6878,134532,195018,171429,18569,124721,597287,480,929,7619,507812,350397,435380,175608,298815,11876988,24,100427,105290
6832_4_{X-18},1048223,318555,398164,934669,567543,275416,60848,55087,15827,364932,142137,128686,87470,202598,3707825,7800,1441,83021,400852,398275,378162,84320,180860,7971233,1363,60602,39995
6420_3_{X-18},2118195,229672,614579,209225,199810,284017,9797,10361,14309,308383,98514,316397,49911,183522,6216292,3328,787,70400,304705,281408,269358,63804,4697,6024004,630,210,29589
6839_4_{X-18},2587303,258239,733644,191847,192683,292434,10440,10240,14090,339985,197427,361342,63706,169683,5395829,5810,836,103563,358417,251507,302750,73468,5869,5992525,1296,112,859
7253,55142,41493,154297,1199308,1528238,198885,26956,20343,7403,16202,248825,77063,157900,172550,5125398,1835,1546,22955,245362,350172,467894,390841,420524,6774065,510,23604,186593
6418_{X-18},1320681,459629,109805,628488,191007,34057,38410,12592,3190,137228,222982,153637,22775,129558,146970,637,1306,6550,488821,330709,437691,179031,250252,12401728,21,102786,105363
6674_2_{X-18},652567,278328,291881,1038751,355379,148214,119488,38650,7969,368361,191231,145435,109221,194823,5499053,5167,2756,81916,398401,275899,296217,63715,145281,7136486,1225,62378,7112
6441_1,132200,107366,21815,1299996,105884,46529,33329,6506,2070,79674,125973,65922,66550,86889,198786,8025,1713,4056,188509,228270,226791,176978,149902,14451943,2106,47569,50553
6677_2_{X-18},2591455,379336,648278,302560,296648,390867,16119,17863,21393,338169,245380,408733,118175,232540,6820713,9529,745,106670,515586,296715,331404,97805,20800,3701692,1303,49,5377
6443,129104,22291,25852,1498408,543033,36006,19975,4331,4302,20621,193145,104973,117396,115010,1340383,1244,1594,7121,328665,250154,277662,293119,312127,12118675,398,74015,76300
6449_1,109745,68629,27758,1263986,100512,20134,32020,5009,1562,49203,134305,103661,58698,74811,396674,7490,1413,4802,176420,251993,241630,167073,143703,14376630,2139,46001,49903
6419_4_{X-18},2460730,233481,548728,148387,100895,268628,8522,5284,11455,328640,227885,324246,67622,118455,7431616,3599,168,79310,246474,95114,149420,52233,3109,5000596,1277,16,14
7252_1,125632,62982,22349,1270673,74467,27216,26023,4042,1330,66808,124859,58273,72015,79942,301713,13127,1861,3436,161970,282853,240151,177465,139683,14480057,3770,45499,47708
6835_3_{X-18},1484829,223680,537011,277123,297178,311876,11231,21288,22783,232294,118308,234326,89649,166193,5370726,9013,764,99936,297980,149760,216962,64422,5386,7669525,1382,85,2194
6839_2_{X-18},3197677,213046,774361,83299,87683,308318,7192,5984,17717,380550,321232,450219,64910,149242,8200030,2972,144,106042,246923,152799,182113,47367,2507,2912437,1118,18,4
6450_1,124303,75601,22262,1295023,87746,20668,29525,4660,1356,68965,140996,57993,61352,79346,265804,10268,1672,4083,188610,277509,227558,183872,162707,14423305,4543,46702,49475
7255_2,129877,70123,25825,1278124,111622,38974,36174,7016,1620,77502,135449,60218,55638,82324,406244,12884,1483,4340,183160,218001,239830,168458,139121,14332065,4077,46157,49598
7252_2,112632,60798,28837,1238876,85295,27780,30355,4429,1719,43613,123526,57817,53436,72373,665681,9806,1439,4466,132983,175166,257526,164333,137279,14331723,2215,44145,47656
6678_3_{X-18},2615279,323805,563371,157911,197290,307302,9653,8698,14710,289725,187486,332580,62976,159127,4486663,4093,533,98216,313141,181457,292524,72244,8424,7226054,624,96,1922
6835_2_{X-18},2690555,275291,573256,93222,124030,271572,5253,3373,12285,383726,248522,372748,67311,134819,4666971,2637,358,97448,239849,63868,238516,42229,3470,7303745,846,4,0
6671_4_{X-18},2525510,239496,604571,132432,144773,283785,8155,6284,12695,311070,246299,344708,78049,151977,4843864,5113,743,90820,391936,224964,261402,75560,26043,6904330,1148,31,146
6443_1,121881,159671,44084,1300524,110019,39910,42458,7236,3060,90387,184165,63871,65108,97001,308279,11882,1587,4357,229214,265431,231744,173225,150254,14107871,3083,48006,51596
6416_{X-18},982847,429353,123347,630552,236751,44790,88260,32679,5456,126353,209332,137593,18569,114620,165678,712,1098,6317,560302,508347,407334,166714,369056,12359044,53,93467,97280
6420_2_{X-18},2332645,223319,678831,149895,150605,281519,7730,6687,10496,297713,123559,306262,56873,150426,7507853,3743,481,84902,284051,233933,257471,61918,1973,4698905,658,137,3319
7260_1,129142,67129,31968,1254727,88694,34472,29915,4737,1509,62804,138755,58534,52595,77830,433219,10153,1578,4569,172665,250800,267503,166463,135029,14345048,3630,44514,47922
6446_3,112336,62957,20294,1286498,106276,35472,27476,5332,1486,61115,152944,89760,71228,81951,278855,9763,1493,4395,198358,258700,228463,184064,169490,14366807,3076,47161,50154
6418_3_{X-18},2859532,214225,587394,132119,113227,298233,7661,6608,15056,341981,228194,337943,62545,143800,6308761,3406,403,99504,233953,131268,272646,60072,1214,5455340,704,53,62
6417_{X-18},1050979,451919,134151,387360,187088,40642,37659,19728,4666,113509,177078,123199,18151,105077,429597,409,912,5965,458065,377095,362505,146425,297683,12815009,43,84027,86963
7258_1,116946,63038,26705,1271250,80694,17053,27249,4975,1384,48697,130955,54796,59317,69416,237895,11132,1530,4011,182791,216119,230366,173291,137933,14650256,4025,45583,48497
7255,39336,24620,26112,2200568,613312,34489,22067,7216,5405,15158,258740,136604,149756,144560,57222,3162,2511,8775,533411,365921,364527,469027,330288,11882726,517,108333,111541
6417_1_{X-18},1794591,190497,462753,158088,159284,225789,6337,4775,7889,273318,73377,249974,54394,127638,4637352,2649,562,65875,289128,258007,211481,53170,4778,8594610,920,111,8557
6831_1_{X-18},1484464,197678,442975,234026,206493,243926,9718,8993,11661,260939,123725,225229,67451,145776,8470831,6240,520,72980,277373,125552,192800,55605,1382,5037302,1456,98,10711
6837_3_{X-18},2485722,230274,626241,102253,124274,259578,7363,6982,13436,333299,276468,353015,51449,128743,5553314,3314,484,90949,247123,114360,230024,65741,8133,6602557,760,38,10
6835_1_{X-18},2494304,244189,539396,155752,223210,279557,6870,6119,15167,371313,204873,358469,73586,156848,3292656,3459,856,101234,358463,196570,282746,56344,11331,8481410,898,9,275
6674_1_{X-18},1815446,231738,429287,228091,256130,287304,11388,9102,13063,373113,105433,285868,76662,181979,4412020,6572,914,62191,345486,215115,230943,66047,16858,8207741,1246,82,46085
6441,46717,32951,54313,1318426,1206254,120865,23147,10237,6071,30004,254732,120324,153358,140055,1319395,2186,1673,11650,295605,333928,422114,323083,422816,11066453,333,90272,108942
6677_3_{X-18},2414540,348682,526136,193257,213156,310527,11374,9882,14668,279793,228859,337904,79908,167714,7134681,6458,539,93564,408121,239684,274772,76306,12453,4531232,1175,50,469
6450_4,116573,72151,26449,1255240,104810,24410,29391,4827,1620,53775,127322,65273,66315,77034,404203,9890,1506,4715,167245,250430,237887,164090,149774,14402632,3415,45636,49291
6447_1,153594,100523,27483,1273436,116983,41984,30551,5181,1434,89677,156094,61999,67123,89535,504777,13218,1403,4757,206918,256158,228854,178428,158626,14046272,4413,46655,49828
6418_2_{X-18},2343087,265657,479980,108033,128445,244431,7595,4531,11594,270374,169003,302802,60687,124605,3460227,3698,486,84850,272257,155705,236734,53075,5610,9121492,928,8,10
6445_3,99010,54809,15995,1293532,87993,20172,36987,4664,1237,53528,118839,83315,66105,80766,176459,7692,1688,4051,231081,283587,222002,179998,162306,14529738,2303,47480,50567
6417_2_{X-18},2136551,249116,457038,114041,115822,239961,7557,4389,10291,258702,157864,258755,50825,111249,5261876,2378,337,75143,258252,153330,219432,52294,1963,7717959,644,43,92
6447_3,130074,76367,18712,1298093,79941,23221,29576,4296,1152,71787,133975,62927,66759,81093,236604,10166,1646,3922,207671,253478,239954,181198,162683,14438997,4563,46953,50096
6448_3,123692,88587,25370,1283681,93956,22741,34312,5677,1570,64159,149335,68693,61069,78853,377621,11936,1570,4353,232832,270361,235502,178783,156453,14243497,4885,46625,49791
6446_4,120378,78401,27322,1273050,107329,30716,36248,6131,2361,69189,130845,77211,63152,80815,390626,9949,1583,4537,188714,220133,243538,174667,153098,14324668,4020,46923,50300
6416_3_{X-18},2366659,211967,571072,143819,137775,270777,10519,8443,14862,269712,185131,319171,63937,136853,5117827,4841,604,87898,353022,329870,262281,66848,6328,6973891,1266,58,473
6445_1,146803,116594,45915,1269253,107390,38136,46833,7293,3014,83948,169826,86356,66539,86816,511540,8875,1451,4924,237542,301716,230879,168816,145925,13928681,3556,46969,50314
6448_2,140004,73333,19629,1259503,107669,23812,32962,5103,1398,70328,150149,63343,65766,79614,406723,12711,1686,4731,197323,290853,229410,174553,146773,14257743,4139,46490,50156
6839_1_{X-18},2226711,265603,512044,138497,147744,254368,6027,4182,8533,263794,152140,275188,55400,125268,4650335,2654,505,82043,310361,243234,243353,61285,3338,7882233,668,56,340
6449_3,121018,75747,27471,1251389,102868,22847,38779,5674,1497,55475,135887,97417,60433,76092,394358,6331,1297,4802,168177,273512,249092,167367,145134,14334555,2860,46141,49684
7258_4,118399,61368,25016,1283012,83744,22852,25162,4590,1316,57965,122460,54168,62522,76667,301379,11688,1755,3713,197247,209299,221752,171435,140241,14559903,3516,45969,48766
6675_1_{X-18},1843451,297536,532805,284758,226789,271067,9747,8875,11307,261074,120640,271988,76455,172737,5496493,5036,649,84183,366383,256129,228546,68006,5429,7009509,1366,244,4702
7255_4,138232,80067,31483,1245399,133901,40956,35719,6534,1697,74790,143298,62396,62237,78469,584660,12993,1329,5102,167024,221378,246038,155108,136488,14151088,4710,45236,49572
7254_4,150004,99301,31372,1306860,103961,35220,38425,7375,1964,92518,161668,60450,59348,86403,349128,13804,1649,4139,202465,232126,260158,172131,144428,14199644,4170,47093,50100
7251_3,122121,72662,27216,1285356,88446,28332,23873,5162,1504,62344,141691,56984,59950,78017,402780,11590,1652,4010,181661,196615,230274,174800,144679,14415487,4207,45938,48553
6676_4_{X-18},2480361,333151,497480,151840,172763,279476,8340,5061,11658,398592,233383,310966,65439,147339,6075127,4659,481,89901,288622,177921,260127,62370,10479,5849482,784,26,76
6673_4_{X-18},2531492,323721,620471,192694,203885,313701,10002,8727,14624,397002,203257,318758,67035,167334,4060226,4826,718,95034,371177,121578,282077,78034,14508,7511777,587,131,2528
6836_4_{X-18},2345690,180819,632970,99113,137593,253534,5337,4205,16426,270870,187537,302453,55712,119735,10905356,2888,429,83183,243199,119720,228285,47746,977,1671210,905,9,3
6419_2_{X-18},2440351,328629,510674,170557,166576,286662,9796,6153,14303,318692,203277,318148,81052,145421,2824897,5362,505,90000,313208,176453,263556,66825,8724,9164964,740,47,332
7259_2,119235,59977,23626,1272802,72244,20955,29713,5212,1231,64293,118452,53462,68062,79195,180649,11374,1736,3606,187788,205557,210253,169710,135400,14723220,4305,45637,48210
7253_3,116652,63964,20012,1218829,70214,21245,24001,3336,1248,44719,115173,55108,76806,72415,364993,9248,1814,3032,158159,229568,207162,175403,133199,14635782,3244,44268,46310
6838_4_{X-18},1489756,316850,492305,360679,402771,355341,17390,38213,28726,313298,114408,292832,62583,206832,3644873,5632,860,95921,378356,296814,269505,71655,16294,8590153,1237,715,51905
7256_1,131824,71644,24634,1277646,93916,32009,37848,5656,1605,72601,144042,65371,55667,81106,312160,12044,1581,4168,185747,226974,248347,168361,142170,14419625,3879,45967,49312
6416_2_{X-18},2272258,186405,523172,104374,109209,253328,8032,7538,10126,313326,114625,299871,53325,128525,4968123,2951,350,78033,268158,223516,234681,54959,4298,7693966,671,69,2015
7259_4,128907,65253,36292,1229414,115024,39277,36465,5593,1763,60792,136765,54282,52834,77340,631385,10793,1323,5163,162967,179102,221412,159194,135806,14272188,4249,44077,48244
6678_4_{X-18},2937614,307500,618262,176532,138386,317400,8443,4914,13876,402230,295235,377004,116711,192551,8429467,5256,361,104779,252393,107680,281527,57097,4268,2765516,902,0,0
6674_3_{X-18},975476,438403,381220,852059,464591,225173,64452,56896,14631,331698,183143,133428,110355,194093,3041351,6726,951,74994,474184,245189,319109,84661,166243,8989055,2217,37170,48436
6680_4_{X-18},2298963,295922,473919,178147,201448,288416,9355,8251,13577,323568,199982,301866,103080,156341,5491055,5089,759,85898,383531,204996,250023,66548,25672,6548705,735,3,55
6678_1_{X-18},2251894,240264,627085,223815,223577,320238,11884,12170,17377,313160,179476,299723,74047,158003,6114116,4938,826,91613,275446,160345,264599,75254,7241,5967249,859,54,651
6832_1_{X-18},1378400,247454,417130,419073,439686,299283,12345,17694,11240,289650,56194,246894,72358,138152,2809509,4147,950,87705,339251,300184,244805,71540,96785,9856264,973,3517,54721
6834_3_{X-18},1695153,269584,450469,250497,233971,284720,9772,10158,13845,266723,72979,242991,51687,161379,9344066,3598,674,97675,303425,308746,234083,54345,1801,3541951,858,89,10665
6834_4_{X-18},1704140,252830,384759,122714,155937,217076,5177,3526,6391,244076,84387,235225,42900,98085,3588468,2819,319,63373,269036,240934,201607,46116,5695,9938790,870,53,601
6673_3_{X-18},2355237,278558,557421,169952,170603,281552,10838,9678,14266,350055,214823,293353,61425,143893,6338819,5156,657,88033,281899,82956,249224,72083,7082,5877431,673,56,181
6838_1_{X-18},2452514,279838,516212,110924,154438,263886,6875,4435,10993,290363,188388,315806,68920,135206,3542617,3242,529,89894,339596,245830,258256,57243,7808,8570977,1069,18,27
6675_3_{X-18},2103155,362387,546190,299245,279149,343200,12219,16096,18820,293347,136992,357668,90317,211035,3632482,6201,792,68721,396226,339241,281479,80750,19498,7993479,776,91,26348
7251_1,111646,61970,26256,1250761,99925,24152,30352,4761,1515,48622,124286,59697,54703,73243,442302,7984,1390,4610,164498,187750,231159,165617,139526,14502987,2367,45156,48669
6419_1_{X-18},2359503,154976,485737,174267,89541,248778,9394,5734,11834,254544,191300,306161,82861,147504,8056186,4307,260,79283,201748,91055,163781,54625,1379,4740325,782,21,18
6840_4_{X-18},2151203,273025,484530,267182,232328,318412,14762,13780,17512,290064,172235,324984,88285,164391,1890335,7358,767,82255,368091,338812,274517,80285,14903,10037411,964,98,7415
7256,36013,23375,26270,2014275,784419,38655,20153,7009,5115,16846,258677,136855,154758,143582,72567,3030,2557,9402,411940,389871,361887,537367,362710,11879665,717,107129,111060
6449,40266,28099,31600,2164591,766473,44962,23490,7867,5722,25622,302367,166970,170025,147377,54288,3954,2283,8939,421279,506532,380129,569928,372846,11440063,1178,112039,117015
6441_3,129776,88874,24031,1297178,100859,35560,31593,9681,1730,85622,122229,75589,80870,82937,196632,15379,1676,3643,187545,251072,208886,185895,155659,14441990,3868,47428,49702
7257_4,114236,55025,28088,1267537,87258,20763,28486,4428,1511,49743,135222,69507,53892,72253,306109,8541,1595,4097,183236,224537,227338,169760,142751,14562996,2979,45519,48497
7251_2,113563,62351,22116,1279152,82513,22340,28577,4665,1433,57160,124417,53540,63408,75937,327671,9619,1655,3813,185852,168373,208333,173219,141739,14606396,3409,45993,48660
6445_4,108571,67925,19997,1257354,124542,18317,27893,5840,1638,47365,126244,62580,59305,73476,326089,7944,1456,4857,195264,259371,227162,169021,145104,14478569,2943,46609,50468
6833_1_{X-18},657018,234642,321510,1098770,536590,200558,55389,31696,7682,304539,246424,84568,152626,180408,940085,6276,1556,68638,376379,191192,304745,88154,167504,11571560,1419,66332,19644
6831_4_{X-18},1465875,288437,544900,566770,531442,387204,21652,40899,23399,355255,130875,287345,130697,180155,4197928,7570,939,100631,355341,216115,279409,84024,76903,7566869,1466,1308,72496
7254_2,132512,85725,30852,1301844,102078,33850,42039,8123,2205,85145,139632,61435,55015,83826,323284,12391,1681,4220,212821,238011,250576,172569,142154,14291326,4413,47500,50677
6837_2_{X-18},2621744,228580,591979,166293,122259,293236,10446,7747,18536,394433,286968,356784,101966,138114,4040749,5582,903,94019,201019,68812,250922,45761,4737,7863113,1199,0,3
7252_4,113204,58727,24265,1253935,72126,22270,24101,3532,1409,45776,123848,55365,58302,73998,421338,9176,1622,3769,140537,193348,232882,173348,140223,14573773,2771,44863,47396
6675_2_{X-18},2049858,322839,515146,242012,229612,300049,11986,10545,13546,316033,176742,291319,78101,161259,4368063,6455,544,79844,348718,207312,244821,68081,9335,7859067,992,101,3524
6677_1_{X-18},2064089,309155,497173,222509,208709,288831,8008,6450,11552,282020,195040,279740,75747,153388,8276401,4179,477,81510,324794,170341,239070,71236,4782,4139706,832,42,123
6450,45665,28935,60985,1376463,971154,84367,24481,10270,5782,20243,221989,104767,144335,134118,3076284,2264,1727,11124,299276,354514,390796,301018,392976,9669134,457,82533,100247
6673_2_{X-18},2284981,246492,556697,173320,148014,270340,8837,6966,11241,355951,239784,292413,72024,142551,6524910,4880,538,86183,260791,40183,229811,67094,4348,5886481,1001,37,36
6680_1_{X-18},2501308,300279,510653,133248,147084,273297,6375,4373,11466,336010,267027,331410,64503,148029,6006976,2414,353,91139,291729,156085,254548,70866,15346,5990711,599,53,23
6419_3_{X-18},2427255,245060,589651,110413,123775,263084,7586,4972,12332,302188,202911,297590,66747,126550,5349652,4129,443,85151,286430,143600,241123,54414,6262,6963766,791,18,11
6443_2,123833,139974,34223,1259513,145592,39346,38034,6703,2396,82858,175329,88898,74412,92133,468812,13888,1334,5314,207687,274049,233593,168775,152934,13983755,4239,47235,51045
6839_3_{X-18},2936447,279869,624840,116183,115804,285837,6877,4470,12527,400232,309829,395226,88417,156538,2170244,4562,647,104545,285591,219085,284305,54990,11055,9046229,1552,2,1
7252,43075,37772,76953,1252066,1573787,157827,18674,15756,8013,15214,277877,134063,154875,150729,1385281,2108,1837,13557,222681,491017,490131,417907,470329,10280168,575,89734,133898
6448,41910,24099,22528,2334844,303621,26061,23848,5355,4953,18411,257768,131258,202384,136671,44746,3155,2225,7339,647227,332637,342075,525891,296017,11967858,961,105273,106789
6446_2,130885,87179,21536,1204897,197099,49674,30383,5459,1822,62786,122744,65883,61647,84382,454970,7767,1487,5214,132748,233867,247992,164551,154706,14288582,987,46308,50349
7260_4,107648,60303,25778,1258727,83850,21742,24378,3995,1246,44787,122658,58213,54828,72419,366444,8415,1487,4045,170113,215445,246561,167431,141331,14559000,2509,44886,47665
6840_1_{X-18},2026905,189147,459217,120000,120546,234888,6313,4080,9420,231172,134946,245536,55205,110657,4108569,3101,500,72236,301614,237613,217181,55610,3911,8966441,812,58,226
6418_4_{X-18},2628515,236988,535749,163692,139530,289172,9326,6622,14698,302186,174260,324967,71770,142582,4421522,4410,682,93550,270439,184264,267970,60223,5886,7565955,860,21,65
6449_4,119865,76838,21681,1287794,86490,19899,26886,4201,1359,64807,143445,75169,69395,78750,312653,9494,1572,4277,192910,267504,253722,186731,166852,14343259,4206,46558,49587
