name,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3
IMG_0185,662231,240869,112758,706200,87005,74460,186886,6263,2123,198639,112337,98594,121356,173027,9912716,8976,882,2955,479781,336530,234192,111929,130232,3837146,5763,49531,22523
IMG_0173,437311,180257,128006,898672,97263,70768,254729,11842,3533,138098,122584,87819,126421,174549,13136798,6726,712,3133,485706,408164,230669,114146,113870,575898,4794,53340,50096
8839,81227,272805,637466,175645,524157,153816,60658,345360,203451,132483,18878,298261,21706,45764,11864993,1062,1076,3961,336573,571961,509373,42512,170658,337812,321,16,102251
IMG_0156,379175,294288,130723,694303,223944,96657,200534,80013,6438,178614,95687,124042,123543,208264,11495849,8475,873,5056,404884,406540,207333,99491,85642,2263297,5552,47373,49314
IMG_0050,576774,469082,224311,669563,235590,110777,120679,70493,11263,204111,91979,155875,122395,204639,12096146,6307,1066,8563,406154,351891,241739,66993,116215,1240630,1608,54442,56619
8817_2,178060,187351,894894,71069,343992,238495,50665,261254,301383,201125,19818,242296,26006,104061,11953993,1135,918,3843,264792,560799,492395,39325,109993,275176,294,5,91109
8832,83708,567227,360809,379601,440242,70480,155517,299081,70709,107272,13128,306991,16396,68170,11240962,961,1396,4102,395786,452008,444026,122067,189644,965877,275,139,157672
IMG_0108,609299,575052,282025,660047,210303,108876,202638,93809,11907,180988,118054,168324,114719,247087,12328614,10176,1195,7289,494665,462141,287566,136200,104652,360872,5266,63651,70489
IMG_0069,511419,391621,165232,806419,178576,97916,249850,48223,5604,199885,102590,137695,101453,166461,10676573,7813,1364,5336,524526,314042,240972,122040,146414,2595888,3652,57092,57248
IMG_0095,732855,337395,197550,650960,113027,86651,196140,22774,2685,163342,101406,147062,81610,152844,12212749,6647,1208,4808,467846,369357,251105,114578,120725,1260963,4738,57422,57457
IMG_0086,288115,290098,192340,437974,390091,133518,92123,150117,28699,185853,69866,110947,100019,160859,13862317,8388,581,10718,307154,286878,181261,64783,81439,395796,3189,17010,65771
IMG_0070,449147,307151,124625,738644,173928,84017,166772,39641,4069,174604,80242,125070,84689,135152,8653067,5793,1232,5113,452113,258523,203935,73245,159707,5316311,2466,48205,48443
8821,66614,494849,416801,300029,478963,88365,152069,337743,95595,109989,15519,300778,18964,49566,11888106,1236,1300,3947,325069,456803,435583,105025,185625,433977,275,82,151374
IMG_0163,370385,335680,173597,557527,294648,102468,161956,121001,13651,153669,85254,126802,102777,221977,12872135,7553,775,7488,441234,373125,207318,85183,78961,920057,4240,42584,53859
IMG_0178,1050131,285981,258412,927921,107280,85383,267313,7936,11932,196396,138037,143559,114224,174744,7547509,8577,897,3110,527021,440672,300122,130903,158110,4933031,6732,62300,27671
IMG_0136,437153,462061,260665,513860,284878,131309,158806,120304,17133,164560,94615,144463,109076,219005,12990389,10975,705,7802,489707,423509,230973,93450,94439,341471,7436,31387,75773
IMG_0010,325065,359111,187138,387064,269337,103275,107555,128420,24543,174422,69262,114923,75167,142124,7857561,9170,740,7675,363780,282497,177100,99821,118963,6445354,2480,28662,54695
8833,73505,460151,469261,255379,487400,94390,127631,353717,111923,110548,15619,300110,18219,41899,11890059,932,1289,3821,339163,506801,455456,76037,190762,390141,279,66,139688
