make,model,x_resolution,y_resolution,resolution_unit,software,datetime,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,photographic_sensitivity,exif_version,datetime_original,datetime_digitized,shutter_speed_value,aperture_value,exposure_bias_value,subject_distance,metering_mode,focal_length,pixel_x_dimension,pixel_y_dimension,focal_plane_resolution_unit,exposure_mode,white_balance,spikelets_num,name
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:32:10,196,6,912,2087,0.00625,14.0,1,100,0220,2019:01:22 10:32:10,2019:01:22 10:32:10,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,32,IMG_9761
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 11:21:53,196,6,912,2029,0.008,9.0,1,100,0220,2018:04:19 11:21:53,2018:04:19 11:21:53,7.0,6.375,0.0,0.0,5,90.0,5184,3456,2,1,0,21,IMG_0423
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 14:15:04,196,6,912,2184,0.00625,14.0,1,100,0220,2019:01:22 14:15:04,2019:01:22 14:15:04,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,27,IMG_0069
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:00:28,196,6,912,2060,0.00625,14.0,1,100,0220,2019:01:22 11:00:28,2019:01:22 11:00:28,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,28,IMG_9876
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 11:45:06,196,6,912,1941,0.008,9.0,1,100,0220,2018:04:19 11:45:06,2018:04:19 11:45:06,7.0,6.375,0.0,0.0,5,90.0,5184,3456,2,1,0,12,IMG_0489
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 11:13:13,196,6,912,2138,0.00625,14.0,1,100,0220,2019:01:22 11:13:13,2019:01:22 11:13:13,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,28,IMG_9937
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:23 09:27:47,196,6,912,2017,0.00625,14.0,1,100,0220,2019:01:23 09:27:47,2019:01:23 09:27:47,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,31,IMG_0182
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:17:03,196,6,912,1769,0.008,9.0,1,100,0220,2018:04:23 10:17:03,2018:04:23 10:17:03,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,19,IMG_1018
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:09:07,196,6,912,1794,0.008,9.0,1,100,0220,2018:04:23 10:09:07,2018:04:23 10:09:07,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,21,IMG_0985
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:37:54,196,6,912,2060,0.00625,14.0,1,100,0220,2019:01:22 10:37:54,2019:01:22 10:37:54,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,27,IMG_9787
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 12:41:44,196,6,912,2041,0.008,9.0,1,100,0220,2018:04:19 12:41:44,2018:04:19 12:41:44,7.0,6.375,0.0,0.0,5,95.0,5184,3456,2,1,0,20,IMG_0621
