H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,name
569214,9526,470246,411,797,8,9323,19945,9,1626429,127903,102698,74,891,17629,11863,7173,17132,3029,184231,178264,0,0,0,0,0,18181,Spike_96
62837,96823,447953,144,641,0,190,21989,5,1189731,823076,136868,10,15664,4119,15781,3475,14912,58,320832,200416,0,0,0,0,0,19452,Spike_464
1583,3871,574601,141,925,79,205,27163,46,1659571,120939,166525,44,21222,2763,22748,919,15602,344876,175626,211523,0,0,0,0,0,24004,Spike_618
11975,10478,594855,159,1112,146,431,27233,79,1560042,291651,161511,17,17819,5917,15814,7368,7525,133825,193165,310085,0,0,0,0,0,23769,Spike_664
3952,4181,585122,152,1000,71,251,27120,57,1541616,186577,168832,19,20358,3574,21818,1725,12471,282418,225817,263832,0,0,0,0,0,24013,Spike_717
596218,8435,450679,1495,677,3,29529,14254,20,1550727,44535,104691,1208,898,17086,12891,12838,16964,17377,313081,163711,1,0,0,0,0,17658,Spike_228
8617,77505,421776,128,465,0,48,21710,9,1004085,1122586,141057,28,19694,181,17104,2379,14225,79,303379,200384,0,0,0,0,0,19537,Spike_495
481922,7492,448834,3809,459,0,20721,3668,2,1780831,76646,110504,79,1219,17864,24660,17071,18004,20449,147557,174495,19,0,0,0,29,18642,Spike_1
13627,9721,586383,162,1199,84,350,27358,72,1600538,223409,160638,9,16521,7224,17392,5871,6773,196637,200416,276819,0,0,0,0,0,23773,Spike_670
700189,18890,460798,650,730,116,8419,19915,31,1307834,189132,111826,458,543,17250,5873,11551,17078,897,297961,187314,0,0,0,0,0,17521,Spike_377
24188,9600,563962,120,1115,131,319,26991,72,1729583,213527,156837,31,15884,7752,19241,4023,8641,92287,204240,272718,0,0,0,0,0,23714,Spike_776
415729,6219,435292,389,521,1,5159,3436,2,1741533,50719,112085,69,1093,16966,18158,16598,17131,3550,355937,156676,0,0,0,0,1,17712,Spike_244
11547,6136,608213,120,916,91,250,26980,48,1819458,114463,163078,19,19144,4776,21912,1582,12995,136832,157977,244564,0,0,0,0,0,23875,Spike_808
13627,10075,610988,128,982,108,270,27252,62,1649783,158929,165078,23,20498,3419,19133,4359,11251,242638,161685,250744,0,0,0,0,0,23944,Spike_537
6163,4943,599041,127,1013,67,188,27204,64,1673711,197273,164048,17,20520,3362,18834,4686,10417,250640,152495,216237,0,0,0,0,0,23926,Spike_711
471938,9691,443641,240,562,1,5099,7846,2,1622313,82338,113972,16,978,16982,17232,12367,17005,1845,342100,191136,0,0,0,0,0,17672,Spike_274
6763,5526,594168,123,1049,87,261,27221,52,1494567,282404,164972,22,19709,4167,19955,3497,8108,230267,222893,265229,0,0,0,0,0,23936,Spike_715
257914,5663,443283,179,579,0,9784,3207,4,1960775,44752,103242,655,966,17086,19645,17190,17279,10225,299561,145227,0,0,0,0,6,17754,Spike_376
826779,39943,462596,263,531,0,10349,20623,15,1251739,209766,114860,4,1258,17648,17360,1322,17777,1354,163953,198255,0,0,0,0,2,18579,Spike_4
767648,39749,460073,345,727,21,9389,19801,26,1061527,270279,127130,17,652,17143,8205,8917,15503,722,333627,215966,0,0,0,0,0,17509,Spike_321
7402,9178,577158,115,1014,58,201,27064,56,1532379,177323,196885,42,21793,2086,21182,2391,12273,331671,172080,258685,0,0,0,0,0,23940,Spike_692
499872,6671,453006,991,600,7,14936,10347,23,1488477,124686,108775,395,872,17114,15050,12989,17083,2480,411524,171401,0,0,0,0,1,17676,Spike_344
615760,10237,470330,461,728,25,4895,19708,16,1582683,109860,98033,227,869,17644,12552,6614,17004,3868,208960,176337,0,0,0,0,0,18165,Spike_98
277557,6650,445217,187,608,10,3401,3241,2,1918034,47209,99860,554,881,17182,19269,17103,17244,6144,316684,160275,0,0,0,0,2,17662,Spike_424
85940,111904,446059,135,694,0,292,21953,4,1148811,795403,135777,11,12625,7160,15814,3361,13303,58,327343,228905,0,0,0,0,0,19424,Spike_508
447159,7751,457691,338,605,3,4864,4250,7,1830391,66640,105791,100,1006,17627,18598,16760,17682,2272,192495,164616,0,0,0,0,3,18327,Spike_82
757297,53352,480204,111,656,6,2865,20731,27,1229258,271777,110544,3,1016,17783,15182,2959,16864,113,173574,202237,0,0,0,0,0,18417,Spike_25
13603,8874,599552,136,966,40,244,27242,43,1764738,124790,168743,42,20834,3135,22187,1336,13807,164614,171497,244617,0,0,0,0,0,23936,Spike_799
259893,5419,446524,630,491,0,13677,2733,1,2085308,50674,109918,268,1182,17799,21354,17827,17993,19036,151807,133868,2,0,0,0,18,18554,Spike_40
13341,4836,584256,158,860,74,212,26931,29,1632963,141373,171494,46,19996,4039,23307,392,15338,222001,232172,257138,0,0,0,0,0,24020,Spike_757
