Name,Masked,Real,Diff
IMG_1076,14,20,6
8766_4,12,18,6
8801,13,19,6
IMG_1089,18,24,6
8766_3,4,10,6
6446_1,16,22,6
IMG_9618,18,24,6
6417_2_{X-18},14,20,6
IMG_1143,18,24,6
IMG_0461,16,22,6
IMG_0357,16,22,6
IMG_1087,16,22,6
6675_4_{X-18},17,23,6
IMG_0578,6,12,6
IMG_9847,20,26,6
IMG_0213,23,29,6
8739,8,14,6
IMG_9759,18,24,6
IMG_1164,16,21,5
8845,17,22,5
IMG_0313,16,21,5
IMG_0912,18,23,5
IMG_9925,19,24,5
IMG_1086,17,22,5
IMG_0908,20,25,5
IMG_1011,15,20,5
IMG_0095,20,25,5
IMG_0964,16,21,5
6835_4_{X-18},12,17,5
IMG_0632,17,22,5
IMG_1144,19,24,5
8753_4,15,20,5
IMG_0349,17,22,5
IMG_0685,16,21,5
IMG_0320,16,21,5
6419_4_{X-18},16,21,5
6420_{X-18},12,17,5
IMG_0995,15,20,5
IMG_0471,15,20,5
IMG_0301,15,20,5
IMG_0423,16,21,5
6673_4_{X-18},13,18,5
6420_2_{X-18},12,17,5
IMG_0894,14,19,5
8730_1,11,16,5
IMG_0798,11,16,5
6837_4_{X-18},15,20,5
IMG_0770,15,20,5
IMG_9915,21,26,5
IMG_0986,16,21,5
IMG_0954,18,23,5
IMG_0440,12,17,5
IMG_1080,19,24,5
IMG_0573,19,24,5
IMG_0692,12,17,5
6418_3_{X-18},6,11,5
IMG_0639,16,21,5
IMG_0336,14,19,5
IMG_0606,12,17,5
8748_4,13,18,5
6417_4_{X-18},14,19,5
IMG_0178,23,28,5
IMG_0942,18,23,5
IMG_9906,25,30,5
IMG_0699,13,18,5
IMG_0980,14,19,5
6446_2,7,12,5
IMG_0670,16,21,5
IMG_0963,13,18,5
IMG_0315,16,21,5
IMG_0395,15,20,5
IMG_0495,17,22,5
IMG_0599,16,21,5
IMG_0698,13,18,5
IMG_0586,18,23,5
IMG_0325,17,22,5
IMG_0625,19,24,5
6677_4_{X-18},17,22,5
IMG_0510,13,18,5
IMG_0493,16,21,5
IMG_0658,14,19,5
6836_4_{X-18},10,15,5
8748,13,18,5
IMG_9655,24,29,5
8762_2,13,18,5
IMG_1180,16,21,5
6675_3_{X-18},8,13,5
IMG_0027,20,25,5
IMG_9662,23,28,5
Spike_831,11,16,5
6445_4,7,12,5
IMG_0554,14,19,5
IMG_0540,12,17,5
IMG_0202,19,24,5
6838_2_{X-18},17,22,5
IMG_0310,15,20,5
IMG_0137,26,31,5
IMG_0665,15,20,5
IMG_0572,16,21,5
IMG_9882,23,28,5
IMG_0441,13,18,5
Spike_40,9,14,5
IMG_0223,14,19,5
IMG_0956,17,22,5
8739_2,19,24,5
IMG_1110,15,20,5
Spike_766,7,12,5
Spike_126,7,12,5
Spike_124,8,13,5
IMG_0669,14,19,5
IMG_0343,14,19,5
8753_2,15,20,5
IMG_0030,19,24,5
IMG_9934,18,23,5
IMG_1000,19,24,5
IMG_0328,15,19,4
IMG_0949,14,18,4
IMG_0655,14,18,4
8755_4,17,21,4
6677_1_{X-18},8,12,4
6441_3,18,22,4
IMG_0506,18,22,4
6443,19,23,4
8739_1,8,12,4
IMG_0637,16,20,4
IMG_0563,13,17,4
8762_4,14,18,4
IMG_0346,17,21,4
IMG_0907,18,22,4
IMG_0556,17,21,4
Spike_445,6,10,4
IMG_0308,14,18,4
IMG_0922,18,22,4
IMG_1160,23,27,4
IMG_0627,15,19,4
IMG_0723,17,21,4
IMG_0790,13,17,4
IMG_0759,18,22,4
8746_4,15,19,4
IMG_0791,20,24,4
IMG_0477,22,26,4
IMG_0370,14,18,4
IMG_0757,18,22,4
IMG_0591,17,21,4
IMG_0675,17,21,4
IMG_0792,20,24,4
8837,25,29,4
IMG_0083,24,28,4
IMG_0887,20,24,4
IMG_1166,22,26,4
6838_4_{X-18},18,22,4
6449_3,23,27,4
8746,15,19,4
IMG_0809,18,22,4
IMG_1170,16,20,4
IMG_0547,17,21,4
IMG_0299,22,26,4
IMG_0103,22,26,4
IMG_1040,19,23,4
IMG_0939,19,23,4
IMG_0804,19,23,4
6443_3,8,12,4
IMG_0998,20,24,4
IMG_0691,5,9,4
IMG_1051,11,15,4
IMG_0550,10,14,4
IMG_0553,16,20,4
8800,20,24,4
IMG_0546,17,21,4
IMG_0316,17,21,4
Spike_122,11,15,4
Spike_495,9,13,4
IMG_0955,19,23,4
IMG_0628,22,26,4
IMG_0937,18,22,4
8755,17,21,4
IMG_0360,5,9,4
IMG_0602,18,22,4
Spike_623,6,10,4
IMG_0672,14,18,4
IMG_1072,20,24,4
Spike_36,17,21,4
IMG_1007,17,21,4
IMG_0473,17,21,4
IMG_0924,16,20,4
IMG_1092,15,19,4
8755_2,17,21,4
IMG_1029,17,21,4
IMG_1008,16,20,4
8750_4,18,22,4
IMG_1168,17,21,4
IMG_0709,15,19,4
8789,15,19,4
6450_2,17,21,4
8746_2,15,19,4
IMG_0811,13,17,4
IMG_0929,14,18,4
6420_3_{X-18},6,10,4
IMG_0362,14,18,4
IMG_0530,20,24,4
IMG_1163,12,16,4
IMG_0755,18,22,4
8790,9,13,4
IMG_0597,22,26,4
Spike_611,14,18,4
6441_1,18,22,4
8766,15,19,4
IMG_9857,26,30,4
IMG_0329,14,18,4
IMG_0526,19,23,4
IMG_0978,15,19,4
8731_2,14,18,4
8753,16,20,4
8748_2,14,18,4
6835_3_{X-18},13,17,4
IMG_0643,17,21,4
7251_3,17,21,4
IMG_0667,15,19,4
IMG_1114,19,23,4
IMG_1083,20,24,4
Spike_612,6,10,4
6676_2_{X-18},15,19,4
IMG_1117,16,20,4
IMG_9866,15,19,4
IMG_0314,16,20,4
IMG_0683,13,17,4
IMG_0427,12,16,4
IMG_0677,17,21,4
IMG_1070,15,19,4
7253,16,20,4
IMG_0681,14,18,4
IMG_1138,16,20,4
8733_2,17,21,4
6676_4_{X-18},15,19,4
IMG_0508,17,21,4
IMG_0950,12,16,4
IMG_0565,15,19,4
IMG_1002,18,22,4
IMG_0883,14,18,4
IMG_1159,23,27,4
IMG_0616,15,19,4
IMG_0789,13,17,4
IMG_1054,13,16,3
8861_2,19,22,3
IMG_1161,14,17,3
IMG_0574,8,11,3
6680_1_{X-18},9,12,3
6444,22,25,3
IMG_0368,15,18,3
8766_1,6,9,3
8740_2,18,21,3
IMG_0640,17,20,3
8752_4,17,20,3
IMG_0812,15,18,3
8734_1,19,22,3
6834_2_{X-18},18,21,3
IMG_0961,18,21,3
IMG_1034,19,22,3
8730_4,16,19,3
IMG_1031,14,17,3
IMG_0741,17,20,3
IMG_0815,21,24,3
6674_2_{X-18},12,15,3
6416_4_{X-18},18,21,3
IMG_1135,17,20,3
IMG_0388,16,19,3
IMG_0412,17,20,3
Spike_467,6,9,3
IMG_0400,12,15,3
IMG_0583,20,23,3
6450_4,18,21,3
IMG_0323,15,18,3
IMG_1071,19,22,3
Spike_212,17,20,3
6838_1_{X-18},9,12,3
6673_3_{X-18},7,10,3
IMG_0470,18,21,3
Spike_497,5,8,3
IMG_0442,15,18,3
8821,17,20,3
IMG_0570,18,21,3
IMG_0451,16,19,3
IMG_1112,20,23,3
IMG_0617,19,22,3
IMG_0778,14,17,3
8817_1,18,21,3
IMG_0974,12,15,3
IMG_0564,16,19,3
IMG_0342,14,17,3
Spike_429,8,11,3
6445,20,23,3
IMG_0527,21,24,3
Spike_788,9,12,3
IMG_1177,10,13,3
IMG_0476,23,26,3
8759_1,8,11,3
Spike_450,7,10,3
IMG_0946,17,20,3
Spike_186,7,10,3
IMG_0598,19,22,3
8739_4,21,24,3
IMG_0774,16,19,3
6418_1_{X-18},8,11,3
6449_1,24,27,3
IMG_1157,23,26,3
6419_3_{X-18},8,11,3
8750,19,22,3
IMG_1158,23,26,3
IMG_0609,16,19,3
8761_4,15,18,3
IMG_0520,18,21,3
IMG_0911,17,20,3
Spike_39,10,13,3
IMG_1183,17,20,3
6680_4_{X-18},20,23,3
7251_4,8,11,3
IMG_0782,16,19,3
IMG_0744,19,22,3
8769,20,23,3
IMG_0472,18,21,3
Spike_424,7,10,3
8823,5,8,3
IMG_0969,14,17,3
Spike_830,6,9,3
IMG_0402,18,21,3
IMG_0492,16,19,3
IMG_0732,19,22,3
6676_3_{X-18},7,10,3
IMG_1109,16,19,3
IMG_0975,16,19,3
Spike_828,6,9,3
IMG_0544,17,20,3
IMG_0768,8,11,3
IMG_0512,9,12,3
IMG_0416,19,22,3
IMG_0422,17,20,3
IMG_0884,15,18,3
IMG_0802,19,22,3
IMG_0509,18,21,3
6445_2,10,13,3
8744,17,20,3
IMG_1181,15,18,3
IMG_0794,15,18,3
IMG_1006,20,23,3
IMG_0592,14,17,3
6448,18,21,3
IMG_0414,15,18,3
IMG_0386,14,17,3
7251_1,18,21,3
8820,20,23,3
IMG_1035,22,25,3
8735_2,20,23,3
7254_4,20,23,3
IMG_0654,16,19,3
Spike_466,7,10,3
IMG_1066,17,20,3
IMG_1124,13,16,3
Spike_401,7,10,3
IMG_1014,17,20,3
IMG_0567,18,21,3
IMG_1139,19,22,3
IMG_0941,18,21,3
IMG_0340,16,19,3
IMG_0615,17,20,3
IMG_0758,17,20,3
Spike_793,9,12,3
8817_2,18,21,3
IMG_0335,16,19,3
IMG_0383,15,18,3
8831,23,26,3
IMG_1038,22,25,3
IMG_0528,23,26,3
8766_2,14,17,3
8774,16,19,3
IMG_0728,13,16,3
IMG_0344,18,21,3
IMG_0717,16,19,3
IMG_1153,17,19,2
8745_4,14,16,2
8761_1,8,10,2
IMG_0466,13,15,2
8729,21,23,2
6839_1_{X-18},8,10,2
8761_3,7,9,2
8738_4,18,20,2
IMG_1187,17,19,2
6450_3,10,12,2
Spike_60,10,12,2
8851,11,13,2
8807,20,22,2
Spike_321,9,11,2
Spike_409,7,9,2
IMG_0767,13,15,2
Spike_705,9,11,2
8784,12,14,2
6444_3,23,25,2
Spike_464,8,10,2
IMG_1081,24,26,2
Spike_462,6,8,2
8781,10,12,2
Spike_712,9,11,2
IMG_0338,9,11,2
IMG_0903,13,15,2
IMG_0888,19,21,2
Spike_782,7,9,2
Spike_711,7,9,2
IMG_0622,9,11,2
IMG_0449,17,19,2
IMG_0391,17,19,2
IMG_0746,17,19,2
6840_1_{X-18},10,12,2
IMG_0514,18,20,2
IMG_0890,21,23,2
8742_2,16,18,2
IMG_0501,17,19,2
IMG_0364,8,10,2
IMG_0549,20,22,2
6445_3,21,23,2
IMG_0795,17,19,2
8842,21,23,2
Spike_64,8,10,2
IMG_1004,19,21,2
8729_2,10,12,2
8760_4,24,26,2
IMG_0695,9,11,2
8748_1,8,10,2
8829,22,24,2
8745,8,10,2
7258_2,17,19,2
IMG_0773,17,19,2
IMG_0928,17,19,2
8805,22,24,2
8731_4,18,20,2
IMG_1127,18,20,2
IMG_0608,17,19,2
Spike_619,7,9,2
Spike_240,9,11,2
6676_1_{X-18},8,10,2
8746_3,7,9,2
IMG_0905,14,16,2
7259_4,8,10,2
7258,9,11,2
IMG_1113,12,14,2
Spike_616,7,9,2
Spike_717,8,10,2
8861,10,12,2
Spike_200,9,11,2
Spike_416,7,9,2
6419_1_{X-18},10,12,2
6443_2,21,23,2
Spike_707,8,10,2
Spike_66,7,9,2
8840_1,11,13,2
Spike_82,11,13,2
Spike_192,10,12,2
Spike_20,7,9,2
6838_3_{X-18},10,12,2
6834_4_{X-18},19,21,2
IMG_1041,24,26,2
Spike_515,8,10,2
Spike_220,7,9,2
IMG_0734,13,15,2
8735_4,21,23,2
8764_1,7,9,2
Spike_22,19,21,2
8847,11,13,2
IMG_0409,15,17,2
IMG_0705,17,19,2
IMG_0454,14,16,2
IMG_1043,17,19,2
IMG_0952,16,18,2
IMG_0925,19,21,2
IMG_0312,18,20,2
8740_3,9,11,2
Spike_28,6,8,2
IMG_0426,8,10,2
Spike_218,8,10,2
6674_4_{X-18},12,14,2
6671_3_{X-18},10,12,2
IMG_0762,16,18,2
8798_4,9,11,2
IMG_1084,23,25,2
Spike_529,9,11,2
Spike_18,8,10,2
8771,24,26,2
8738_1,9,11,2
8832,9,11,2
IMG_0419,19,21,2
Spike_110,7,9,2
8811,21,23,2
IMG_0923,20,22,2
8759_3,8,10,2
Spike_434,7,9,2
Spike_799,7,9,2
IMG_0662,15,17,2
6675_2_{X-18},21,23,2
Spike_224,10,12,2
IMG_0332,15,17,2
Spike_346,8,10,2
IMG_0917,20,22,2
8846,22,24,2
IMG_1053,12,14,2
8813,16,18,2
IMG_0979,11,13,2
IMG_1048,12,14,2
Spike_533,7,9,2
IMG_1058,17,19,2
8761_2,16,18,2
Spike_408,8,10,2
8764_4,15,17,2
IMG_0899,17,19,2
Spike_54,8,10,2
6839_2_{X-18},15,17,2
8755_1,10,12,2
IMG_1176,19,21,2
8762_1,7,9,2
Spike_58,9,11,2
IMG_0880,13,15,2
IMG_0580,16,18,2
8732_2,19,21,2
8793,8,10,2
8732_4,19,21,2
7253_2,9,11,2
Spike_459,7,9,2
IMG_0712,18,20,2
8750_3,10,12,2
Spike_239,16,18,2
8788,25,27,2
IMG_0568,19,21,2
Spike_664,8,10,2
IMG_1142,16,18,2
IMG_0403,21,23,2
Spike_453,6,8,2
IMG_1077,16,18,2
IMG_0560,16,18,2
8734_2,8,10,2
8733,19,21,2
Spike_26,16,18,2
Spike_790,6,8,2
IMG_0543,19,21,2
Spike_62,9,11,2
8745_2,15,17,2
8733_4,19,21,2
8740_4,19,21,2
Spike_435,8,10,2
IMG_0671,17,19,2
IMG_0534,17,19,2
IMG_1060,18,20,2
8791,15,17,2
